Stage_1 8000.000000  1.163410  21806.725500
Stage_1 7968.059923  1.163410  21719.672819
Stage_1 7936.247351  1.163409  21632.967654
Stage_1 7904.561775  1.163409  21546.608617
Stage_1 7873.002688  1.163408  21460.594325
Stage_1 7841.569585  1.163407  21374.923404
Stage_1 7810.261964  1.163406  21289.594482
Stage_1 7779.079323  1.163405  21204.606194
Stage_1 7748.021163  1.163404  21119.957180
Stage_1 7717.086988  1.163402  21035.646086
Stage_1 7686.276303  1.163401  20951.671563
Stage_1 7655.588614  1.163399  20868.032267
Stage_1 7625.023430  1.163397  20784.726860
Stage_1 7594.580264  1.163395  20701.754008
Stage_1 7564.258626  1.163393  20619.112386
Stage_1 7534.058033  1.163390  20536.800670
Stage_1 7503.978001  1.163387  20454.817542
Stage_1 7474.018049  1.163384  20373.161693
Stage_1 7444.177697  1.163380  20291.831814
Stage_1 7414.456469  1.163375  20210.826605
Stage_1 7384.853887  1.163370  20130.144770
Stage_1 7355.369480  1.163365  20049.785018
Stage_1 7326.002775  1.163358  19969.746062
Stage_1 7296.753302  1.163351  19890.026623
Stage_1 7267.620593  1.163343  19810.625425
Stage_1 7238.604182  1.163334  19731.541197
Stage_1 7209.703605  1.163323  19652.772675
Stage_1 7180.918399  1.163311  19574.318597
Stage_1 7152.248104  1.163298  19496.177708
Stage_1 7123.692262  1.163282  19418.348759
Stage_1 7095.250414  1.163265  19340.830504
Stage_1 7066.922107  1.163245  19263.621702
Stage_1 7038.706887  1.163222  19186.721119
Stage_1 7010.604302  1.163197  19110.127524
Stage_1 6982.613903  1.163167  19033.839691
Stage_1 6954.735241  1.163134  18957.856401
Stage_1 6926.967872  1.163096  18882.176436
Stage_1 6899.311351  1.163053  18806.798586
Stage_1 6871.765234  1.163003  18731.721646
Stage_1 6844.329082  1.162947  18656.944413
Stage_1 6817.002456  1.162882  18582.465693
Stage_1 6789.784917  1.162809  18508.284291
Stage_1 6762.676031  1.162725  18434.399023
Stage_1 6735.675365  1.162629  18360.808706
Stage_1 6708.782485  1.162520  18287.512162
Stage_1 6681.996962  1.162395  18214.508219
Stage_1 6655.318366  1.162252  18141.795708
Stage_1 6628.746273  1.162089  18069.373466
Stage_1 6602.280255  1.161902  17997.240334
Stage_1 6575.919890  1.161689  17925.395159
Stage_1 6549.664755  1.161446  17853.836791
Stage_1 6523.514432  1.161168  17782.564084
Stage_1 6497.468501  1.160851  17711.575899
Stage_1 6471.526545  1.160489  17640.871099
Stage_1 6445.688150  1.160077  17570.448554
Stage_1 6419.952902  1.159607  17500.307136
Stage_1 6394.320390  1.159073  17430.445723
Stage_1 6368.790203  1.158466  17360.863198
Stage_1 6343.361933  1.157778  17291.558447
Stage_1 6318.035172  1.157000  17222.530362
Stage_1 6292.809516  1.156120  17153.777837
